Внутренняя нумерация,Дата отгрузки,№ Заказа,Клиент,Номенклатура,Профиль,Марка,Размер мм.,Длина,Кол-во тн в заказе,ИТОГО остаток к выполнению,Взято со склада (тн),ИТОГО остатка к завершению,Тех. отходы 2,Дел. Остатки 2,КИМ 2,Исходная Номенклатура/ наличие,Профиль,НТД,Марка стали,Размер,Длина,Исх. Остаток ст. (тн),Взято из остатка (тн),Свободный остаток (тн),Тех. отходы 3,Дел. Остатки 3,КИМ 3,ИТОГО остатка к завершению 3,Исходная Номенклатура/ ожидание,Профиль,Марка,Размер,Кол-во тн.,Длина,Дата размещения,Поставщик,Ожидаемая дата поставки
,,,,,,,,,,,,,,,,"Круг г/к 30,0мм ст.45 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,30,НД,"5,81","5,81","0,00",,,,,,,,,,,,,
317,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 30,0мм ст.45 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.45,30,НД,30,"28,078","2,284","26,685","0,846","0,045","0,969","Круг г/к 32,0мм ст.45 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,32,МД 6000,"2,28","2,28","0,00",,,,,,,,,,,,,
318,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 32,0мм ст.35 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.35,32,НД,8,"0,978","1,009",0,"0,029","0,002","0,969","Круг г/к 34,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,34,МД 6000,"1,71","1,01","0,71",,,,,,,,,,,,,
319,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 32,0мм ст.45 h11 Б НГ Н/Д 183-229 НВ консервация без упаковки",Круг,ст.45,32,НД,10,"4,297","2,399","2,034","0,129","0,007","0,969","Круг г/к 34,0мм ст.45 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,34,МД 6000,"1,72","1,72","0,00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Круг г/к 34,0мм ст.45 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,34,МД 6000,"0,68","0,68","0,00",,,,,,,,,,,,,
320,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 34,0мм ст.20 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.20,34,НД,2,"0,73",0,"0,753",0,0,0,,,,,,,,,,,,,,,,,,,,,,
323,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 36,0мм ст.45 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.45,36,НД,6,6,0,"6,191",0,0,0,,,,,,,,,,,,,,,,,,,,,,
324,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 38,0мм ст.45 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.45,38,НД,4,4,0,"4,128",0,0,0,,,,,,,,,,,,,,,,,,,,,,
325,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 42,0мм ст.20 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.20,42,НД,6,"2,68",0,"2,766",0,0,0,,,,,,,,,,,,,,,,,,,,,,
326,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 42,0мм ст.45 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.45,42,НД,2,2,0,"2,064",0,0,0,,,,,,,,,,,,,,,,,,,,,,
330,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 4543-2016/ГОСТ 7417-75 круг 18,5мм ст.40Хх4000 h11 Б ТО М/Д <217 НВ консервация без упаковки",Круг,ст.40Х,"18,5",МД 4000,68,68,0,"70,549",0,0,0,,,,,,,,,,,,,,,,,,,,,,
331,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 4543-2016/ГОСТ 7417-75 круг 22,0мм ст.40Хх4000 h11 Б ТО М/Д <217 НВ консервация без упаковки",Круг,ст.40Х,22,МД 4000,22,22,0,"22,907",0,0,0,,,,,,,,,,,,,,,,,,,,,,
335,10.04.2026,АР-081/0003,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 16,0мм ст.45х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.45,16,МД 6000,4,"2,098","1,087","1,082","0,063","0,201","0,878","Круг г/к 18,0мм ст.45 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,18,НД,"1,09","1,09","0,00",,,,,,,,,,,,,
342,10.04.2026,АР-081/0003,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 35,0мм ст.45х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.45,35,МД 6000,4,4,"0,784","3,377","0,122","0,053","0,958","Круг г/к 36,0мм ст.45 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,36,НД,"0,78","0,78","0,00",,,,,,,,,,,,,
343,10.04.2026,АР-081/0003,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 36,0мм ст.45х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.45,36,МД 6000,2,2,0,"2,079",0,0,0,,,,,,,,,,,,,,,,,,,,,,
344,10.04.2026,АР-081/0003,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 40,0мм ст.35х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.35,40,МД 6000,4,"1,779",0,"1,864",0,0,0,,,,,,,,,,,,,,,,,,,,,,
347,10.04.2026,АР-081/0003,МЕТАЛЛОТОРГ АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 16,0мм ст.40Хх6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.40Х,16,МД 6000,4,"0,34",0,"0,352",0,0,0,,,,,,,,,,,,,,,,,,,,,,
351,15.04.2026,АР-081/0004,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 10,0мм ст.20х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.20,10,МД 6000,2,2,"2,064",0,"0,06","0,57","0,694","Круг г/к 12,0мм ст.20 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.20,12,НД,"13,35","2,06","11,29",,,,,,,,,,,,,
352,15.04.2026,АР-081/0004,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 10,0мм ст.45х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.45,10,МД 6000,2,"1,488","1,536",0,"0,045","0,424","0,694","Круг г/к 12,0мм ст.45 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,12,НД,"8,23","1,54","6,69",,,,,,,,,,,,,
354,15.04.2026,АР-081/0004,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 22,0мм ст.20х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.20,22,МД 6000,2,"0,232","0,239",0,"0,007","0,031","0,84","Круг г/к 24,0мм ст.20 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.20,24,МД 6000,"3,52","0,24","3,28",,,,,,,,,,,,,
359,15.04.2026,АР-081/0004,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 36,0мм ст.35х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.35,36,МД 6000,2,"0,61","0,634",0,"0,019","0,046","0,898","Круг г/к 38,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,38,МД 6000,"10,31","0,63","9,68",,,,,,,,,,,,,
361,15.04.2026,АР-081/0004,МЕТАЛЛОТОРГ АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 18,0мм ст.40Хх6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.40Х,18,МД 6000,2,2,0,"2,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,
362,15.04.2026,АР-081/0004,МЕТАЛЛОТОРГ АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 50,0мм ст.40Хх6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.40Х,50,МД 6000,2,2,"0,03","2,061","0,061","0,032","0,956","Круг г/к 52,0мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,52,МД 6000,"0,03","0,03","0,00",,,,,,,,,,,,,
366,15.04.2026,АР-081/0002,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 45,0мм ст.45х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.45,45,МД 6000,2,2,0,"2,09",0,0,0,,,,,,,,,,,,,,,,,,,,,,
367,15.04.2026,АР-081/0002,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 50,0мм ст.45х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.45,50,МД 6000,2,2,0,"2,092",0,0,0,,,,,,,,,,,,,,,,,,,,,,
369,15.04.2026,АР-081/0002,МЕТАЛЛОТОРГ АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 20,0мм ст.40Хх6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.40Х,20,МД 6000,2,2,"1,109","0,989","0,061","0,177","0,886","Круг г/к 22,0мм ст.40Х В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,22,МД 6000,"1,11","1,11","0,00",,,,,,,,,,,,,
372,15.04.2026,АР-081/0005,ИСКУССТВО ЛИНИЙ ООО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 18,5мм ст.40Хх4000 h11 Б ТО М/Д <217 НВ консервация без упаковки",Круг,ст.40Х,"18,5",МД 4000,"21,5","14,698",0,"15,249",0,0,0,,,,,,,,,,,,,,,,,,,,,,
377,20.04.2026,АР-081/0001,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 18,0мм ст.45х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.45,18,МД 6000,2,2,0,"2,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,
379,20.04.2026,АР-081/0001,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 25,0мм ст.20х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.20,25,МД 6000,2,2,0,"2,092",0,0,0,,,,,,,,,,,,,,,,,,,,,,
382,20.04.2026,АР-081/0001,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 50,0мм ст.35х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.35,50,МД 6000,4,4,"0,334","3,849","0,122","0,072","0,954","Круг г/к 52,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,52,МД 6000,"0,33","0,33","0,00",,,,,,,,,,,,,
392,23.04.2026,АР-081/0007,МашПромКомплект,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 55,0мм ст.18ХГТ h11 В ТО Н/Д консервация без упаковки",Круг,ст.18ХГТ,55,НД,4,4,"4,127",0,"0,121","0,007","0,969","Круг г/к 56,0мм ст.18ХГТ В1 2ГП МД 6000,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.18ХГТ,56,МД 6000,"5,77","4,13","1,64",,,,,,,,,,,,,
393,23.04.2026,АР-081/0007,МашПромКомплект,"ГОСТ 4543-2016/ГОСТ 8560-78 шестигранник 36,0мм ст.30ХГСА h11 В НГ Н/Д консервация без упаковки",Шестигранник,ст.30ХГСА,36,НД,2,2,0,"2,07",0,0,0,,,,,,,,,,,,,,,,,,,,,,
396,30.04.2026,АР-081/0008,МашПромКомплект,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 60,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,60,НД,10,10,"0,84","9,479","0,301","0,018","0,969","Круг г/к 62,0мм ст.35 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,62,НД,"0,84","0,84","0,00",,,,,,,,,,,,,
399,16.04.2026,АР-082/0002,ОАО «МАЗ»,"ГОСТ 4543-2016/ГОСТ 8560-78 шестигранник 36,0мм ст.40Х h11 Б ТО Н/Д консервация без упаковки",Шестигранник,ст.40Х,36,НД,20,20,0,"20,695",0,0,0,,,,,,,,,,,,,,,,,,,,,,
405,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 18,0мм ст.35 h11 В ТО Н/Д консервация без упаковки",Круг,ст.35,18,НД,"0,4","0,4",0,"0,413",0,0,0,,,,,,,,,,,,,,,,,,,,,,
407,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 20,0мм ст.20 h11 В ТО Н/Д консервация без упаковки",Круг,ст.20,20,НД,"0,4","0,4",0,"0,413",0,0,0,,,,,,,,,,,,,,,,,,,,,,
408,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 22,0мм ст.35 h11 В ТО Н/Д консервация без упаковки",Круг,ст.35,22,НД,"0,4","0,4","0,002","0,411","0,012","0,001","0,969","Круг г/к 24,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,24,МД 6000,"0,00","0,00","0,00",,,,,,,,,,,,,
412,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 32,0мм ст.35х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.35,32,МД 6000,1,1,0,"1,035",0,0,0,,,,,,,,,,,,,,,,,,,,,,
414,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 33,0мм ст.35х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.35,33,МД 6000,1,1,"0,705","0,339","0,03","0,025","0,947","Круг г/к 34,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,34,МД 6000,"0,71","0,71","0,00",,,,,,,,,,,,,
415,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 33,0мм ст.45х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.45,33,МД 6000,1,1,0,"1,044",0,0,0,,,,,,,,,,,,,,,,,,,,,,
416,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 35,0мм ст.20х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.20,35,МД 6000,1,1,0,"1,04",0,0,0,,,,,,,,,,,,,,,,,,,,,,
417,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 36,0мм ст.40х6000 h11 Б НГ М/Д консервация без упаковки",Круг,ст.40,36,МД 6000,1,1,0,"1,04",0,0,0,,,,,,,,,,,,,,,,,,,,,,
419,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 42,0мм ст.35х6000 h11 В НГ М/Д консервация без упаковки",Круг,ст.35,42,МД 6000,1,1,0,"1,043",0,0,0,,,,,,,,,,,,,,,,,,,,,,
422,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 8560-78 шестигранник 27,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Шестигранник,ст.35,27,НД,2,2,0,"2,07",0,0,0,,,,,,,,,,,,,,,,,,,,,,
423,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 8560-78 шестигранник 32,0мм ст.35х6000 h11 В НГ М/Д консервация без упаковки",Шестигранник,ст.35,32,МД 6000,2,2,0,"2,091",0,0,0,,,,,,,,,,,,,,,,,,,,,,
424,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 8560-78 шестигранник 36,0мм ст.35х6000 h11 В НГ М/Д консервация без упаковки",Шестигранник,ст.35,36,МД 6000,2,2,0,"2,091",0,0,0,,,,,,,,,,,,,,,,,,,,,,
425,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 25,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,25,НД,"0,4","0,4","0,413",0,"0,012","0,001","0,969","Круг г/к 26,0мм ст.40Х В1 2ГП НД,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,26,НД,"4,52","0,41","4,10",,,,,,,,,,,,,
426,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 4543-2016/ГОСТ 8560-78 шестигранник 22,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Шестигранник,ст.40Х,22,НД,1,1,0,"1,035",0,0,0,,,,,,,,,,,,,,,,,,,,,,
427,21.05.2026,АР-082/0001,МЗКТ ОАО,"ГОСТ 4543-2016/ГОСТ 8560-78 шестигранник 27,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Шестигранник,ст.40Х,27,НД,2,2,0,"2,07",0,0,0,,,,,,,,,,,,,,,,,,,,,,
434,06.04.2026,АР-084/0002,ПРОМКАЛИБР ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 25,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,25,НД,5,"1,232",0,"1,271",0,0,0,,,,,,,,,,,,,,,,,,,,,,
435,06.04.2026,АР-084/0002,ПРОМКАЛИБР ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 30,0мм ст.20 h11 В НГ Н/Д консервация без упаковки",Круг,ст.20,30,НД,2,2,"2,063",0,"0,06","0,003","0,969","Круг г/к 32,0мм ст.20 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.20,32,МД 6000,"5,97","2,06","3,90",,,,,,,,,,,,,
439,06.04.2026,АР-084/0002,ПРОМКАЛИБР ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 54,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,54,НД,2,2,0,"2,064",0,0,0,,,,,,,,,,,,,,,,,,,,,,
442,06.04.2026,АР-084/0002,ПРОМКАЛИБР ООО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 60,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Круг,ст.40Х,60,НД,2,2,"2,064",0,"0,06","0,004","0,969","Круг г/к 62,0мм ст.40Х В1 2ГП НД,",круг,ГОСТ 4543-2016 / ГОСТ 2590-2006,ст.40Х,62,НД,"2,19","2,06","0,13",,,,,,,,,,,,,
443,06.04.2026,АР-084/0002,ПРОМКАЛИБР ООО,"ГОСТ 4543-2016/ГОСТ 8560-78 шестигранник 32,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Шестигранник,ст.40Х,32,НД,2,2,0,"2,07",0,0,0,,,,,,,,,,,,,,,,,,,,,,
448,08.04.2026,АР-085/0001,ОАО «МЭТЗ ИМ. В.И.КОЗЛОВА»,"ГОСТ 1050-2013/ГОСТ 8560-78 шестигранник 36,0мм ст.35х4000 h11 В НГ М/Д консервация, упаковка",Шестигранник,ст.35,36,МД 4000,2,"0,217",0,"0,227",0,0,0,,,,,,,,,,,,,,,,,,,,,,
454,24.04.2026,АР-084/0001,ОАО «БЗА»,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 10,0мм ст.45 h11 В НГ М2 ТВ2 НВ 197-229 Н/Д конс. без упак.",Круг,ст.45,10,НД,"2,5","2,5","2,579",0,"0,075","0,003","0,969","Круг г/к 12,0мм ст.45 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,12,НД,"10,81","2,58","8,23",,,,,,,,,,,,,
455,24.04.2026,АР-084/0001,ОАО «БЗА»,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 44,0мм ст.40Х h11 В ТО НВ 187-229 Н/Д консервация без упаковки",Круг,ст.40Х,44,НД,"2,5","2,5",0,"2,58",0,0,0,,,,,,,,,,,,,,,,,,,,,,
458,15.04.2026,АР-089/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 16,0мм ст.20 h11 В НГ Н/Д консервация без упаковки",Круг,ст.20,16,НД,10,"2,142",0,"2,209",0,0,0,,,,,,,,,,,,,,,,,,,,,,
460,15.04.2026,АР-089/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 20,0мм ст.20 h11 В НГ Н/Д консервация без упаковки",Круг,ст.20,20,НД,4,"1,867",0,"1,926",0,0,0,,,,,,,,,,,,,,,,,,,,,,
461,15.04.2026,АР-089/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 28,0мм ст.20 h11 В НГ Н/Д консервация без упаковки",Круг,ст.20,28,НД,6,6,0,"6,191",0,0,0,,,,,,,,,,,,,,,,,,,,,,
462,15.04.2026,АР-089/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 28,0мм ст.45 h11 В НГ Н/Д консервация без упаковки",Круг,ст.45,28,НД,2,"0,36",0,"0,371",0,0,0,,,,,,,,,,,,,,,,,,,,,,
463,15.04.2026,АР-089/0002,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 30,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Круг,ст.35,30,НД,3,"1,734",0,"1,789",0,0,0,,,,,,,,,,,,,,,,,,,,,,
